created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,token,positif,negatif,sentiment_score,sentiment
Thu Jan 28 09:07:33 +0000 2021,1354717741916196875,baru aplikasi jenius playstore ulang,0,2,0,0,in,246244814,1354712033032200194,antonioelfaldo,https://twitter.com/antonioelfaldo/status/1354717741916196875,"['baru', 'aplikasi', 'jenius', 'playstore', 'ulang']",1,1,0,Netral
Thu Jan 28 03:26:00 +0000 2021,1354631786026782726,halo kak usaha baru aplikasi jenius tidak bisa playstore klik baru proses tidak jalan,0,2,0,0,in,43982365,1354631786026782726,ariyanitiara,https://twitter.com/ariyanitiara/status/1354631786026782726,"['halo', 'kak', 'usaha', 'baru', 'aplikasi', 'jenius', 'tidak bisa', 'playstore', 'klik', 'baru', 'proses', 'tidak jalan']",1,2,-1,Negatif
Wed Jan 27 12:00:24 +0000 2021,1354398854062379008,tolong anakanak it jenius ajuin proposal yge aplikasi idol artist biar gaperlu apps,0,0,0,0,in,1260982858845319168,1354398854062379008,bepreciouskies,https://twitter.com/bepreciouskies/status/1354398854062379008,"['tolong', 'anakanak', 'it', 'jenius', 'ajuin', 'proposal', 'yge', 'aplikasi', 'idol', 'artist', 'biar', 'gaperlu', 'apps']",1,0,1,Positif
Wed Jan 27 09:49:30 +0000 2021,1354365908500664320,selamat sore adu kait aplikasi jenius hubung jenius help email jeniushelp com twitter chat langsung aplikasi terima kasih,0,0,0,0,in,2424890203,1354361676418535427,lifeatbtpn,https://twitter.com/lifeatbtpn/status/1354365908500664320,"['selamat', 'sore', 'adu', 'kait', 'aplikasi', 'jenius', 'hubung', 'jenius', 'help', 'email', 'jeniushelp', 'com', 'twitter', 'chat', 'langsung', 'aplikasi', 'terima', 'kasih']",3,0,3,Positif
Wed Jan 27 06:08:43 +0000 2021,1354310349839716355,aplikasi jenius kirim pesan uma mumpung gaji tanya lembut orang terima upah tanggal pikir,1,2,5,7,in,126345423,1354310349839716355,el_nonymous,https://twitter.com/el_nonymous/status/1354310349839716355,"['aplikasi', 'jenius', 'kirim', 'pesan', 'uma', 'mumpung', 'gaji', 'tanya', 'lembut', 'orang', 'terima', 'upah', 'tanggal', 'pikir']",2,0,2,Positif
Tue Jan 26 08:58:19 +0000 2021,1353990641361907712,gue alami kena tipu orang aku jenius telepon aplikasi lemah biar aman tingkat aman login mbanking pakai email pakai id pin kayak bank negara indonesia,0,2,0,0,in,193726913,1353988261794861057,Monovalen_,https://twitter.com/Monovalen_/status/1353990641361907712,"['gue', 'alami', 'kena', 'tipu', 'orang', 'aku', 'jenius', 'telepon', 'aplikasi', 'lemah', 'biar', 'aman', 'tingkat', 'aman', 'login', 'mbanking', 'pakai', 'email', 'pakai', 'id', 'pin', 'kayak', 'bank negara indonesia']",3,2,1,Positif
Tue Jan 26 04:16:22 +0000 2021,1353919684655996928,ayo brimo tingkat sistem mulu jam kerja proses tidak bisa pakai jasa programmernya urus aplikasi mobile tidak selesai brimo error kayak jenius apknya kali brimo,0,1,1,0,in,1170252376390782976,1353919684655996928,ArthurNugraha1,https://twitter.com/ArthurNugraha1/status/1353919684655996928,"['ayo', 'brimo', 'tingkat', 'sistem', 'mulu', 'jam', 'kerja', 'proses', 'tidak bisa', 'pakai', 'jasa', 'programmernya', 'urus', 'aplikasi', 'mobile', 'tidak selesai', 'brimo', 'error', 'kayak', 'jenius', 'apknya', 'kali', 'brimo']",1,1,0,Netral
Mon Jan 25 10:31:07 +0000 2021,1353651607754293250,pakai jenius aplikasi dana tidak ada biaya admin kesal lambat banget pas buka,0,0,0,0,in,1214174191,1353651607754293250,srintil14,https://twitter.com/srintil14/status/1353651607754293250,"['pakai', 'jenius', 'aplikasi', 'dana', 'tidak ada', 'biaya', 'admin', 'kesal', 'lambat', 'banget', 'pas', 'buka']",1,3,-2,Negatif
Mon Jan 25 09:26:28 +0000 2021,1353635338518859776,kayak nasabah tidak tuju feesible jenius aplikasi error jaring,0,0,0,0,in,1034336415750873088,1353635338518859776,daantp,https://twitter.com/daantp/status/1353635338518859776,"['kayak', 'nasabah', 'tidak tuju', 'feesible', 'jenius', 'aplikasi', 'error', 'jaring']",1,0,1,Positif
Mon Jan 25 05:05:25 +0000 2021,1353569644393623554,halo reinstall aplikasi jenius terima kasih,0,2,0,0,in,10865642,1353564934408298497,rizalakbar,https://twitter.com/rizalakbar/status/1353569644393623554,"['halo', 'reinstall', 'aplikasi', 'jenius', 'terima', 'kasih']",1,0,1,Positif
Mon Jan 25 04:46:43 +0000 2021,1353564934408298497,pagi terus muncul error internet tidak ada aplikasi jenius masalah handphone direstart cob jaring jenius masalah confivpxnqyl,0,1,0,0,in,10865642,1353564934408298497,rizalakbar,https://twitter.com/rizalakbar/status/1353564934408298497,"['pagi', 'terus', 'muncul', 'error', 'internet', 'tidak ada', 'aplikasi', 'jenius', 'masalah', 'handphone', 'direstart', 'cob', 'jaring', 'jenius', 'masalah', 'confivpxnqyl']",2,3,-1,Negatif
Sun Jan 24 11:00:02 +0000 2021,1353296494883786752,pakai aplikasi mobile jenius super duper mudah kontrol transaksi mudah gera jari mudahpakaiprima,0,0,0,0,in,170666404,1353296494883786752,jaringanprima,https://twitter.com/jaringanprima/status/1353296494883786752,"['pakai', 'aplikasi', 'mobile', 'jenius', 'super', 'duper', 'mudah', 'kontrol', 'transaksi', 'mudah', 'gera', 'jari', 'mudahpakaiprima']",3,0,3,Positif
Fri Jan 22 16:52:50 +0000 2021,1352660504066420737,malam min beli pulsa aplikasi kayak dana jenius tidak bisa tulis stok habis,0,1,0,1,in,178985789,1352660504066420737,sandrasasi,https://twitter.com/sandrasasi/status/1352660504066420737,"['malam', 'min', 'beli', 'pulsa', 'aplikasi', 'kayak', 'dana', 'jenius', 'tidak bisa', 'tulis', 'stok', 'habis']",2,2,0,Netral
Fri Jan 22 15:19:30 +0000 2021,1352637019298570240,wajar orang kayak usaha kasih target orang undang pakai aplikasi kayak kayak bank jenius tawar orangorang pakai biar bonus correct me if i am wrong,0,2,0,0,in,1107475342887796736,1352635600558567428,hoseokiedior,https://twitter.com/hoseokiedior/status/1352637019298570240,"['wajar', 'orang', 'kayak', 'usaha', 'kasih', 'target', 'orang', 'undang', 'pakai', 'aplikasi', 'kayak', 'kayak', 'bank', 'jenius', 'tawar', 'orangorang', 'pakai', 'biar', 'bonus', 'correct me if i am wrong']",3,0,3,Positif
Fri Jan 22 13:26:31 +0000 2021,1352608586061344768,tidak bisa pakai jenius bayar aplikasi mybluebird,0,0,0,0,in,21953371,1352608586061344768,priambodo,https://twitter.com/priambodo/status/1352608586061344768,"['tidak bisa', 'pakai', 'jenius', 'bayar', 'aplikasi', 'mybluebird']",1,1,0,Netral
Fri Jan 22 12:59:01 +0000 2021,1352601663693942784,kartu jenius tidak bisa pakai aplikasi mybb,0,1,0,0,in,21953371,1352601663693942784,priambodo,https://twitter.com/priambodo/status/1352601663693942784,"['kartu', 'jenius', 'tidak bisa', 'pakai', 'aplikasi', 'mybb']",1,1,0,Netral
Fri Jan 22 02:46:11 +0000 2021,1352447438611742728,aplikasi jenius lambat loadingnya banget gue tidak masalah fee ribu tingkat service parah,0,1,0,0,in,132012644,1352447438611742728,billLegacy,https://twitter.com/billLegacy/status/1352447438611742728,"['aplikasi', 'jenius', 'lambat', 'loadingnya', 'banget', 'gue', 'tidak masalah', 'fee', 'ribu', 'tingkat', 'service', 'parah']",1,2,-1,Negatif
Thu Jan 21 02:16:07 +0000 2021,1352077484557123586,aplikasi lingkung fisik kantor asli lengkap ruang meeting pantry koridor jenis temu tak duga acap koridor kantor obrol gosip aplikasi jenius,0,1,0,6,in,190535830,1352077083791396864,Strategi_Bisnis,https://twitter.com/Strategi_Bisnis/status/1352077484557123586,"['aplikasi', 'lingkung', 'fisik', 'kantor', 'asli', 'lengkap', 'ruang', 'meeting', 'pantry', 'koridor', 'jenis', 'temu', 'tak duga', 'acap', 'koridor', 'kantor', 'obrol', 'gosip', 'aplikasi', 'jenius']",3,2,1,Positif
Thu Jan 21 02:14:31 +0000 2021,1352077083791396864,wfh meeting via zoom mudah bikin lelah fatigue tiada atmosfer tatap muka kayak kantor aplikasi jenius aplikasi kerja kantor benar obrol minim kopi pantry ketemu koridor dan lain lain cojkztdzipb,8,2,53,174,in,190535830,1352077083791396864,Strategi_Bisnis,https://twitter.com/Strategi_Bisnis/status/1352077083791396864,"['wfh', 'meeting', 'via', 'zoom', 'mudah', 'bikin', 'lelah', 'fatigue', 'tiada', 'atmosfer', 'tatap', 'muka', 'kayak', 'kantor', 'aplikasi', 'jenius', 'aplikasi', 'kerja', 'kantor', 'benar', 'obrol', 'minim', 'kopi', 'pantry', 'ketemu', 'koridor', 'dan lain lain', 'cojkztdzipb']",3,1,2,Positif
Wed Jan 20 22:55:28 +0000 2021,1352026988035248129,terima kasih aplikasi halodoc jenius,0,0,0,0,in,901129804983836672,1352026988035248129,b2kwq2,https://twitter.com/b2kwq2/status/1352026988035248129,"['terima kasih', 'aplikasi', 'halodoc', 'jenius']",1,0,1,Positif
Wed Jan 20 11:44:11 +0000 2021,1351858057668562949,buset pelit banget jenius aplikasi lot kayak keong udaaaah wkwk gerak cepat sekale gue ajar mending digibank tmrw tidak ada sales mal,0,0,0,0,in,128511632,1351740352349171712,dheyaanggita,https://twitter.com/dheyaanggita/status/1351858057668562949,"['buset', 'pelit', 'banget', 'jenius', 'aplikasi', 'lot', 'kayak', 'keong', 'udaaaah', 'wkwk', 'gerak cepat', 'sekale', 'gue', 'ajar', 'mending', 'digibank', 'tmrw', 'tidak ada', 'sales', 'mal']",1,2,-1,Negatif
Mon Jan 18 16:10:17 +0000 2021,1351200246618062853,aplikasi wkwk uhm uang ovo condong jeniusdanalinkaja managenya kayak catat etc suka monefy catat uang simple interfacenya banding monefy,0,0,0,0,in,1233204885287510017,1351166434303422464,caramelauberre,https://twitter.com/caramelauberre/status/1351200246618062853,"['aplikasi', 'wkwk', 'uhm', 'uang', 'ovo', 'condong', 'jeniusdanalinkaja', 'managenya', 'kayak', 'catat', 'etc', 'suka', 'monefy', 'catat', 'uang', 'simple', 'interfacenya', 'banding', 'monefy']",0,0,0,Netral
Fri Jan 15 11:19:46 +0000 2021,1350039970354921472,new baru premium app harga baru aplikasi baru yuk cek harga aplikasi payment dana ovo jenius reseller welcome harga beda coyxtrexzgx,0,0,0,0,in,1262384174628995079,1281206752705306624,tokoonlinegais,https://twitter.com/tokoonlinegais/status/1350039970354921472,"['new', 'baru', 'premium', 'app', 'harga', 'baru', 'aplikasi', 'baru', 'yuk', 'cek', 'harga', 'aplikasi', 'payment', 'dana', 'ovo', 'jenius', 'reseller', 'welcome', 'harga', 'beda', 'coyxtrexzgx']",1,1,0,Netral
Fri Jan 15 04:41:11 +0000 2021,1349939664665206790,min aplikasi jenius trouble kah tidak bisa login pakai password finger print tidak ada informasi hasil login gagal incorrect password,0,0,0,0,in,1040463508037492736,1349939664665206790,gdlyhp,https://twitter.com/gdlyhp/status/1349939664665206790,"['min', 'aplikasi', 'jenius', 'trouble', 'kah', 'tidak bisa', 'login', 'pakai', 'password', 'finger', 'print', 'tidak ada', 'informasi', 'hasil', 'login', 'gagal', 'incorrect', 'password']",1,3,-2,Negatif
Thu Jan 14 18:07:55 +0000 2021,1349780298217656321,min problem pin passwrd confidential sms notifikasi no handphone aplikasi jenius ubah hebat euiii,0,1,0,0,in,848463438359560192,1349623629978374144,alicebooksshop,https://twitter.com/alicebooksshop/status/1349780298217656321,"['min', 'problem', 'pin', 'passwrd', 'confidential', 'sms', 'notifikasi', 'no', 'handphone', 'aplikasi', 'jenius', 'ubah', 'hebat', 'euiii']",2,0,2,Positif
Thu Jan 14 13:49:23 +0000 2021,1349715234601091072,pakai jenius aplikasi digital banking rekomen ganti jenius,0,2,0,0,in,233505250,1349715218335584267,ihsanade,https://twitter.com/ihsanade/status/1349715234601091072,"['pakai', 'jenius', 'aplikasi', 'digital', 'banking', 'rekomen', 'ganti', 'jenius']",2,1,1,Positif
Thu Jan 14 13:49:22 +0000 2021,1349715232902377473,gue tidak masalah ditarikin biaya rupiah januari gue tidak masalah aplikasi jenius lot kayak aman beda cerita,0,1,0,0,in,233505250,1349715218335584267,ihsanade,https://twitter.com/ihsanade/status/1349715232902377473,"['gue', 'tidak masalah', 'ditarikin', 'biaya', 'rupiah', 'januari', 'gue', 'tidak masalah', 'aplikasi', 'jenius', 'lot', 'kayak', 'aman', 'beda', 'cerita']",2,1,1,Positif
Wed Jan 13 12:26:38 +0000 2021,1349332022066507785,jenius aplikasi,0,0,0,0,in,3932585900,1349157126397050880,histcri,https://twitter.com/histcri/status/1349332022066507785,"['jenius', 'aplikasi']",1,0,1,Positif
Wed Jan 13 07:18:21 +0000 2021,1349254443745693696,regist online verifikasi rekening pakai vidcall cardnya kirim langsung rumah langsung unduh aplikasi jenius,0,1,0,0,in,1229212456368500737,1349231438604890113,rudytabutiiii,https://twitter.com/rudytabutiiii/status/1349254443745693696,"['regist', 'online', 'verifikasi', 'rekening', 'pakai', 'vidcall', 'cardnya', 'kirim', 'langsung', 'rumah', 'langsung', 'unduh', 'aplikasi', 'jenius']",1,0,1,Positif
Mon Jan 11 16:09:06 +0000 2021,1348663234643939328,biaya feesible pikir biaya beban jenius guna next biaya feesible ubah rupiah rupiah aplikasi timbul beban biaya ujung beban guna,0,0,0,1,in,1142902391844429829,1348663234643939328,TheBi9Boss,https://twitter.com/TheBi9Boss/status/1348663234643939328,"['biaya', 'feesible', 'pikir', 'biaya', 'beban', 'jenius', 'guna', 'next', 'biaya', 'feesible', 'ubah', 'rupiah', 'rupiah', 'aplikasi', 'timbul', 'beban', 'biaya', 'ujung', 'beban', 'guna']",1,3,-2,Negatif
Mon Jan 11 13:49:21 +0000 2021,1348628062825447426,feesible aplikasi jenius rezky pratama blog colqzzepyo,0,1,0,0,in,12861552,1348628062825447426,rezky_pratama,https://twitter.com/rezky_pratama/status/1348628062825447426,"['feesible', 'aplikasi', 'jenius', 'rezky', 'pratama', 'blog', 'colqzzepyo']",1,0,1,Positif
Sun Jan 10 11:00:01 +0000 2021,1348223061464645632,atur uang transaksi mudah aplikasi mobile jenius mudahpakaiprima,0,0,0,1,in,170666404,1348223061464645632,jaringanprima,https://twitter.com/jaringanprima/status/1348223061464645632,"['atur', 'uang', 'transaksi', 'mudah', 'aplikasi', 'mobile', 'jenius', 'mudahpakaiprima']",2,0,2,Positif
Sun Jan 10 05:47:31 +0000 2021,1348144417996083202,biaya berlanggalan jenius aplikasi,0,1,0,0,in,2181791834,1348142487181750274,officiallyeols,https://twitter.com/officiallyeols/status/1348144417996083202,"['biaya', 'berlanggalan', 'jenius', 'aplikasi']",1,0,1,Positif
Fri Jan 08 18:08:22 +0000 2021,1347606085432066048,chat aplikasi jenius responnya buruk aplikasi tidak selesai kembali uang ribu lapor ojk,0,1,0,0,in,3314401050,1347605544337506304,Ahmadalif27,https://twitter.com/Ahmadalif27/status/1347606085432066048,"['chat', 'aplikasi', 'jenius', 'responnya', 'buruk', 'aplikasi', 'tidak selesai', 'kembali', 'uang', 'ribu', 'lapor', 'ojk']",1,2,-1,Negatif
Fri Jan 08 18:06:13 +0000 2021,1347605544337506304,scan jenius qr qris dana terang jenius sukses saldo masuk aplikasi dana bisnis mohon bantu uang k hilang mana coearhgsvpkt,0,2,0,0,in,3314401050,1347605544337506304,Ahmadalif27,https://twitter.com/Ahmadalif27/status/1347605544337506304,"['scan', 'jenius', 'qr', 'qris', 'dana', 'terang', 'jenius', 'sukses', 'saldo', 'masuk', 'aplikasi', 'dana', 'bisnis', 'mohon', 'bantu', 'uang', 'k', 'hilang', 'mana', 'coearhgsvpkt']",4,1,3,Positif
Fri Jan 08 05:57:41 +0000 2021,1347422202237386752,aplikasi jenius baru bilang unistall install bantu pusat,0,1,0,0,in,433142657,1347405976920494081,inisvre,https://twitter.com/inisvre/status/1347422202237386752,"['aplikasi', 'jenius', 'baru', 'bilang', 'unistall', 'install', 'bantu', 'pusat']",1,0,1,Positif
Fri Jan 08 00:55:31 +0000 2021,1347346160785059842,halo chat aplikasi diam masmba bita jenius agen menit transaksi tidak tahu asal mohon tanggap terima kasih cojvwxmxzewk,0,1,0,0,in,108864061,1347346160785059842,octhanna,https://twitter.com/octhanna/status/1347346160785059842,"['halo', 'chat', 'aplikasi', 'diam', 'masmba', 'bita', 'jenius', 'agen', 'menit', 'transaksi', 'tidak tahu', 'asal', 'mohon', 'tanggap', 'terima', 'kasih', 'cojvwxmxzewk']",2,1,1,Positif
Fri Jan 08 00:51:30 +0000 2021,1347345148888272897,jenius help live chat aplikasi baik disconnect mulu hobi,0,1,0,0,in,292767699,1347319886029049858,ricuhrd,https://twitter.com/ricuhrd/status/1347345148888272897,"['jenius', 'help', 'live', 'chat', 'aplikasi', 'baik', 'disconnect', 'mulu', 'hobi']",2,0,2,Positif
Thu Jan 07 23:04:45 +0000 2021,1347318283226161153,feedback tambah tolong banget narikin rebu guna bikin aplikasi jenius ringan tidak berat bukadi akses buka aplikasi loading storageram handphone lega koneksi lancar,0,1,0,0,in,135840933,1347068715511123968,jtsantoso,https://twitter.com/jtsantoso/status/1347318283226161153,"['feedback', 'tambah', 'tolong', 'banget', 'narikin', 'rebu', 'guna', 'bikin', 'aplikasi', 'jenius', 'ringan', 'tidak berat', 'bukadi', 'akses', 'buka', 'aplikasi', 'loading', 'storageram', 'handphone', 'lega', 'koneksi', 'lancar']",3,1,2,Positif
Thu Jan 07 15:57:13 +0000 2021,1347210690856067073,mudah atur keuangankehidupan jenius unduh aplikasi jenius cojvxckwxmf masuk cashtag afi kolom referral,0,0,0,0,in,262638966,1347210690856067073,u51k,https://twitter.com/u51k/status/1347210690856067073,"['mudah', 'atur', 'keuangankehidupan', 'jenius', 'unduh', 'aplikasi', 'jenius', 'cojvxckwxmf', 'masuk', 'cashtag', 'afi', 'kolom', 'referral']",3,0,3,Positif
Thu Jan 07 14:59:53 +0000 2021,1347196263071010816,mudah atur keuangankehidupan jenius unduh aplikasi jenius copedieqcc masuk cashtag maauliyak kolom referral jenius bank tabung mudah tabung cashback untung visa indonesia playstore appstore btpn,0,0,0,0,in,1187269673265455104,1347196263071010816,akuharapanmu,https://twitter.com/akuharapanmu/status/1347196263071010816,"['mudah', 'atur', 'keuangankehidupan', 'jenius', 'unduh', 'aplikasi', 'jenius', 'copedieqcc', 'masuk', 'cashtag', 'maauliyak', 'kolom', 'referral', 'jenius', 'bank', 'tabung', 'mudah', 'tabung', 'cashback', 'untung', 'visa', 'indonesia', 'playstore', 'appstore', 'btpn']",6,0,6,Positif
Thu Jan 07 11:14:03 +0000 2021,1347139428804792321,jenius aplikasi,0,0,0,0,lt,1125964366262587393,1347137937524236289,heibuddy_,https://twitter.com/heibuddy_/status/1347139428804792321,"['jenius', 'aplikasi']",1,0,1,Positif
Thu Jan 07 09:52:44 +0000 2021,1347118966410338304,ingat tinggal unduh aplikasi jenius playstoreappstore isi data vidcall jenius kartu kirim rumah,0,0,0,0,in,1139109658604400641,1347116907627835395,hidupbahagyaa,https://twitter.com/hidupbahagyaa/status/1347118966410338304,"['ingat', 'tinggal', 'unduh', 'aplikasi', 'jenius', 'playstoreappstore', 'isi', 'data', 'vidcall', 'jenius', 'kartu', 'kirim', 'rumah']",2,0,2,Positif
Thu Jan 07 03:12:53 +0000 2021,1347018342092075009,nasabah debet acak kukirain tidak semua nasabah nasabah kena bilang aplikasi jenius kena biaya admin ribu bye bye jenius tarik duit,0,1,0,0,in,129382765,1347018342092075009,penjays,https://twitter.com/penjays/status/1347018342092075009,"['nasabah', 'debet', 'acak', 'kukirain', 'tidak semua', 'nasabah', 'nasabah', 'kena', 'bilang', 'aplikasi', 'jenius', 'kena', 'biaya', 'admin', 'ribu', 'bye', 'bye', 'jenius', 'tarik', 'duit']",2,1,1,Positif
Wed Jan 06 05:59:02 +0000 2021,1346697766035066881,tinggal scan barcode pakai aplikasi jenius kak pilih bayar qr cozctbxgphg,1,0,0,1,in,141046165,1328951365310230529,zonempty,https://twitter.com/zonempty/status/1346697766035066881,"['tinggal', 'scan', 'barcode', 'pakai', 'aplikasi', 'jenius', 'kak', 'pilih', 'bayar', 'qr', 'cozctbxgphg']",1,0,1,Positif
Tue Jan 05 15:28:35 +0000 2021,1346478711520989184,halo kak jenius qr aplikasi tifak baru,0,1,0,0,in,1212225210373431296,1343032561174396928,vitnessss,https://twitter.com/vitnessss/status/1346478711520989184,"['halo', 'kak', 'jenius', 'qr', 'aplikasi', 'tifak', 'baru']",1,0,1,Positif
Tue Jan 05 12:15:09 +0000 2021,1346430029987676162,bikin aplikasi jenius,0,0,0,0,in,2678357419,1346430029987676162,rfmodric,https://twitter.com/rfmodric/status/1346430029987676162,"['bikin', 'aplikasi', 'jenius']",1,0,1,Positif
Tue Jan 05 11:05:44 +0000 2021,1346412563144167425,mudah atur keuangankehidupan jenius unduh aplikasi jenius cokrxxtlyrv masuk cashtag nurannisa kolom referral,0,0,0,0,in,233847838,1346412563144167425,NAnnisa96,https://twitter.com/NAnnisa96/status/1346412563144167425,"['mudah', 'atur', 'keuangankehidupan', 'jenius', 'unduh', 'aplikasi', 'jenius', 'cokrxxtlyrv', 'masuk', 'cashtag', 'nurannisa', 'kolom', 'referral']",3,0,3,Positif
Tue Jan 05 05:36:09 +0000 2021,1346329617703944194,bayar laku aplikasi jenius bank btpn onlinereal time,0,1,0,0,in,131171863,1346328461208551425,agk_man,https://twitter.com/agk_man/status/1346329617703944194,"['bayar', 'laku', 'aplikasi', 'jenius', 'bank', 'btpn', 'onlinereal', 'time']",1,0,1,Positif
Mon Jan 04 09:16:23 +0000 2021,1346022655602790406,unggul aplikasi jenius kelompok transaksi histori transaksi mudah baca manusia kode erti software bank tanggal minus cofokyofayr,0,1,0,0,in,59354621,1346017768479444998,_budir_,https://twitter.com/_budir_/status/1346022655602790406,"['unggul', 'aplikasi', 'jenius', 'kelompok', 'transaksi', 'histori', 'transaksi', 'mudah', 'baca', 'manusia', 'kode', 'erti', 'software', 'bank', 'tanggal', 'minus', 'cofokyofayr']",3,0,3,Positif
Mon Jan 04 09:09:34 +0000 2021,1346020941193625601,unggul kartu batas saldo on the fly aplikasi parno catat kartu kredit takut bobol pakai jenius anda bobol minimal rugi blokir aplikasi tidak perlu telpon bank,0,2,0,0,in,59354621,1346017768479444998,_budir_,https://twitter.com/_budir_/status/1346020941193625601,"['unggul', 'kartu', 'batas', 'saldo', 'on', 'the', 'fly', 'aplikasi', 'parno', 'catat', 'kartu', 'kredit', 'takut', 'bobol', 'pakai', 'jenius', 'anda', 'bobol', 'minimal', 'rugi', 'blokir', 'aplikasi', 'tidak perlu', 'telpon', 'bank']",2,4,-2,Negatif
